Kategorie,Název,Popis,K použití na,
Automatizace & Low-Code,N8N,"Workflow automation tool (uzlový editor), ideální pro self-hosted řešení.",Tvorba složitých integračních scénářů a automatizací bez nutnosti posílat data třetím stranám.,
Automatizace & Low-Code,Zapier,Populární nástroj pro propojování webových aplikací.,"Rychlé propojení systémů, které nemají nativní integraci, bez znalosti programování.",
Automatizace & Low-Code,Power Apps,Platforma pro rychlý vývoj podnikových aplikací (low-code).,Tvorba interních aplikací (např. pro skladníky nebo obchodníky) na míru.,
Automatizace & Low-Code,Google AppSheet,No-code platforma pro tvorbu aplikací z dat v Google Sheets.,Rychlá digitalizace papírových procesů a tvorba mobilních appek pro sběr dat.,
Automatizace & Low-Code,Google Script (GAS),Skriptovací jazyk založený na JavaScriptu pro Google Workspace.,Automatizace úloh v Google Sheets/Docs a tvorba vlastních funkcí a maker.,
Vývoj & Infrastruktura,Azure,"Cloudová platforma od Microsoftu (výpočetní výkon, databáze).","Hostování firemní infrastruktury, správa identit (Entra ID) a SQL databází.",
Vývoj & Infrastruktura,Google Cloud (GCP),Sada cloudových služeb pro výpočetní techniku a data.,"Provozování AI modelů, BigQuery datových skladů a serverless aplikací.",
Vývoj & Infrastruktura,AWS,Amazon Web Services – nejrozšířenější cloudová platforma.,"Škálovatelný hosting, úložiště (S3) a pokročilé cloudové služby.",
Vývoj & Infrastruktura,Github,Služba pro verzování kódu (Git) a CI/CD.,"Správa repozitářů, spolupráce na kódu a verzování projektů.",
Vývoj & Infrastruktura,Docker,Platforma pro kontejnerizaci aplikací.,"Zajištění konzistentního běhu aplikací (např. N8N, databáze) kdekoliv.",
Vývoj & Infrastruktura,VS Studio (Code),Standardní vývojové prostředí (IDE).,"Psaní a ladění kódu, práce s rozšířeními pro různé jazyky.",
Vývoj & Infrastruktura,Cloudflare,"CDN, DNS a zabezpečení webových aplikací.","Zrychlení načítání webu, ochrana před DDoS útoky a správa DNS záznamů.",
Vývoj & Infrastruktura,Vercel,Cloudová platforma pro frontend vývojáře (serverless).,Rychlé nasazení statických webů a frontendových aplikací (Next.js).,
Vývoj & Infrastruktura,Hostinger,"Poskytovatel hostingu, VPS a domén.","Správa webhostingu, levné VPS pro testovací projekty a registrace domén.",
Vývoj & Infrastruktura,Supabase,Open-source alternativa k Firebase (Backend-as-a-Service).,Rychlé vytvoření backendu s databází a autentifikací pro vlastní aplikace.,
Vývoj & Infrastruktura,Firebase,Vývojová platforma od Google pro webové a mobilní aplikace.,"Hosting, real-time databáze a autentifikace uživatelů.",
Vývoj & Infrastruktura,MongoDB,NoSQL databázový program.,"Ukládání nestrukturovaných dat, flexibilní databáze pro moderní aplikace.",
Produktivita & Spolupráce,MS 365,"Sada cloudových služeb (Office, Teams, OneDrive).","Firemní komunikace, sdílení dokumentů a kancelářská práce.",
Produktivita & Spolupráce,Google Workspace,"Sada nástrojů (Gmail, Docs, Drive, Meet).","Kolaborace v reálném čase, firemní e-mail a sdílené úložiště.",
Produktivita & Spolupráce,ClickUp,Komplexní nástroj pro projektový management.,"Řízení projektů, sprintů, roadmap a sledování stavu úkolů.",
Produktivita & Spolupráce,Taskade,"Nástroj pro týmovou spolupráci, AI agenty a myšlenkové mapy.","Organizace myšlenek, týmový chat a strukturování projektů pomocí AI.",
Design & Kreativa,Figma,Nástroj pro návrh uživatelského rozhraní (UI/UX).,"Prototypování aplikací, tvorba wireframů a předávání podkladů vývojářům.",
Design & Kreativa,Canva,Online grafický nástroj pro netechnické uživatele.,"Rychlá tvorba grafiky pro sociální sítě, prezentace a marketingové materiály.",
